#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.0.0                                  
#                  Branch is bug-fixes                                
#             MPI+OpenMP+HDF5_MPI_IO Build                            
#               http://www.lumen-code.org                             
#
#
#
# GW solver                                       : Newton
# GW approximation                                : Fan + DW
# [ph] dS/dw steps                                :  2
# [ph] dS/dw step                                 :  0.100000001    [ev]
# [ph] Sc/G damping                               :  0.100000001    [ev]
# El-Ph correlation                               : yes
# El-Ph Sc. G bands                               :   1  20
# El-Ph phonon branches                           :   1   9
# El-Ph momenta used                              :   7
# Energy treshold                                 :  0.999999997E-6 [FAN]
# Energy treshold                                 :  0.999999997E-6 [DW]
#                                                 
# QP @ state[ 1 ] K range                         :   1   7
# QP @ state[ 1 ] b range                         :   9  18
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#                                                 
# [ELPH] Phonon modes                             :   9
# [ELPH] Q points                                 :   7 [avail]
# [ELPH] K points                                 :   36
# [ELPH] El-PH bands                              :  200
# [ELPH] Using the Q-grid                         : yes
# [ELPH] Bare interaction                         : no
# [ELPH] PH double-grid                           : no
# GF energies kind                                : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
# GF WF`s kind                                    : Perdew, Burke & Ernzerhof SOL(X)+Perdew, Burke & Ernzerhof SOL(C)
#
#
#    Eo [eV]            DeltaE [eV]        Width [meV]
#
     4.35068120       -0.851429445E-2     -38.8359988   
     4.35068120       -0.851429445E-2     -38.8359988   
     4.35068120       -0.851429445E-2     -38.8359988   
     4.35068120       -0.851429445E-2     -38.8359988   
     4.47582365        0.454625533E-2     -43.0250125   
     4.47582365        0.454625533E-2     -43.0250125   
     4.47582365        0.454625533E-2     -43.0250125   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     4.59873149        0.783620823E-1     -134.835858   
     5.12956965        0.306296451E-1     -11.4368391   
     5.12956965        0.306296451E-1     -11.4368391   
     5.62889422       -0.109885408E-2    -0.145532785   
     6.17602623        0.129822919E-1     -3.86070500   
     6.17602623        0.129822919E-1     -3.86070500   
     6.17602623        0.129822919E-1     -3.86070500   
     6.24746837       -0.229380721E-2     -1.85117675   
     6.24746837       -0.229380721E-2     -1.85117675   
     6.24746837       -0.229380721E-2     -1.85117675   
     6.24746837       -0.229380721E-2     -1.85117675   
     6.24746837       -0.229380721E-2     -1.85117675   
     6.24746837       -0.229380721E-2     -1.85117675   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.06990470       -0.221636030E-2     -18.1485597   
     7.22074127       -0.122698614E-2     -3.52096639   
     7.22074127       -0.122698614E-2     -3.52096639   
     7.22074127       -0.122698614E-2     -3.52096639   
     7.22074127       -0.122698614E-2     -3.52096639   
     7.22074127       -0.122698614E-2     -3.52096639   
     7.22074127       -0.122698614E-2     -3.52096639   
     7.30395088        0.275646127E-2     -13.7159690   
     7.30395088        0.275646127E-2     -13.7159690   
     7.38604137       -0.973154905E-5     -4.30263319   
     7.38604137       -0.973154905E-5     -4.30263319   
     7.38604137       -0.973154905E-5     -4.30263319   
     7.38604137       -0.973154905E-5     -4.30263319   
     7.38604137       -0.973154905E-5     -4.30263319   
     7.38604137       -0.973154905E-5     -4.30263319   
